Created on 11-01-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-11-01,LTCETH,0.2527,0.2532,0.25,0.2532,189.98,47.87
2018-10-31,LTCETH,0.25,0.254,0.249,0.2527,309.14,77.61
2018-10-30,LTCETH,0.2499,0.2521,0.2492,0.25,503.38,125.8
2018-10-29,LTCETH,0.2531,0.2547,0.245,0.2499,549.19,138.2
2018-10-28,LTCETH,0.2556,0.257,0.2522,0.2531,183.71,46.73
2018-10-27,LTCETH,0.2564,0.2571,0.2542,0.2556,80.34,20.58
2018-10-26,LTCETH,0.259,0.259,0.256,0.2564,309.79,79.49
2018-10-25,LTCETH,0.2597,0.2607,0.2571,0.259,335.04,86.78
2018-10-24,LTCETH,0.2606,0.2608,0.2568,0.2597,85.73,22.18
2018-10-23,LTCETH,0.257,0.263,0.2563,0.2606,397.78,102.98
2018-10-22,LTCETH,0.2581,0.2605,0.2562,0.257,264.01,68.03
2018-10-21,LTCETH,0.261,0.2613,0.2571,0.2581,171.12,44.49
2018-10-20,LTCETH,0.2616,0.2628,0.259,0.261,144.65,37.81
2018-10-19,LTCETH,0.2595,0.2634,0.2579,0.2616,187.66,48.67
2018-10-18,LTCETH,0.26,0.26,0.2571,0.2595,208.94,54.03
2018-10-17,LTCETH,0.2591,0.2601,0.2552,0.26,657.2,169.14
2018-10-16,LTCETH,0.2618,0.2631,0.2618,0.2631,0.0,0.0
2018-10-15,LTCETH,0.2682,0.2696,0.2561,0.2618,1168.63,306.95
2018-10-14,LTCETH,0.2675,0.2682,0.2642,0.2682,204.72,54.65
2018-10-13,LTCETH,0.272,0.275,0.2671,0.2675,1459.46,396.5
2018-10-12,LTCETH,0.2659,0.274,0.2627,0.272,1011.2,272.5
2018-10-11,LTCETH,0.2573,0.268,0.2562,0.2659,1543.26,400.18
2018-10-10,LTCETH,0.2584,0.2584,0.255,0.2573,202.33,51.92
2018-10-09,LTCETH,0.2598,0.2605,0.2562,0.2584,379.69,97.71
2018-10-08,LTCETH,0.2579,0.2609,0.2565,0.2598,236.43,61.16
2018-10-07,LTCETH,0.2585,0.2619,0.2551,0.2579,305.36,78.54
2018-10-06,LTCETH,0.2586,0.2602,0.253,0.2585,1808.96,469.32
2018-10-05,LTCETH,0.2621,0.264,0.2576,0.2586,696.7,181.09
2018-10-04,LTCETH,0.261,0.2638,0.259,0.2621,427.41,111.67
2018-10-03,LTCETH,0.2633,0.2648,0.2575,0.261,1328.56,348.63
2018-10-02,LTCETH,0.2601,0.268,0.26,0.2633,354.96,93.37
2018-10-01,LTCETH,0.2607,0.2664,0.26,0.2601,351.37,92.6
2018-09-30,LTCETH,0.2664,0.2664,0.2588,0.2607,277.74,72.7
2018-09-29,LTCETH,0.2813,0.2813,0.258,0.2664,2195.04,584.41
2018-09-28,LTCETH,0.2758,0.2813,0.273,0.2813,612.98,169.9
2018-09-27,LTCETH,0.2669,0.2923,0.2659,0.2758,1867.3,523.3
2018-09-26,LTCETH,0.2647,0.2725,0.263,0.2669,575.0,154.23
2018-09-25,LTCETH,0.2526,0.27,0.2526,0.2647,1252.83,325.77
2018-09-24,LTCETH,0.252,0.256,0.245,0.2526,1420.38,358.72
2018-09-23,LTCETH,0.2505,0.258,0.2494,0.252,452.37,114.5
2018-09-22,LTCETH,0.246,0.2522,0.242,0.2505,215.16,53.12
2018-09-21,LTCETH,0.2534,0.2581,0.2408,0.246,335.21,83.85
2018-09-20,LTCETH,0.257,0.2597,0.2499,0.2534,318.29,82.14
2018-09-19,LTCETH,0.2568,0.2625,0.2535,0.257,1400.34,363.97
2018-09-18,LTCETH,0.2637,0.2655,0.2542,0.2568,469.17,122.51
2018-09-17,LTCETH,0.2572,0.269,0.253,0.2637,155.71,40.16
2018-09-16,LTCETH,0.2538,0.2635,0.2537,0.2572,542.84,141.05
2018-09-15,LTCETH,0.2662,0.272,0.2537,0.2538,421.6,109.12
2018-09-14,LTCETH,0.2576,0.2701,0.2488,0.2662,2651.47,682.9
2018-09-13,LTCETH,0.281,0.2825,0.2564,0.2576,715.78,192.21
2018-09-12,LTCETH,0.2808,0.2917,0.2772,0.281,814.31,231.79
